"Run","Start","End","StaticCost","StaticTime(ms)","StaticPathLen","AdaptiveCost","AdaptiveTime(ms)","AdaptivePathLen","CostDelta(%)","TimeDelta(%)"
"1","N24","N111","18.535","4.959","6","18.535","1.945","6","0.00","60.79"
"2","N24","N142","13.600","0.550","6","13.600","0.542","6","0.00","1.29"
"3","N140","N105","19.384","0.383","5","19.384","0.412","5","0.00","-7.46"
"4","N220","N260","48.449","0.466","11","48.449","0.438","11","0.00","6.03"
"5","N32","N200","28.483","0.450","8","28.483","0.446","8","0.00","0.71"
"6","N18","N130","Infinity","0.092","0","Infinity","0.056","0","NaN","38.80"
"7","N28","N61","31.382","0.515","7","31.382","0.412","7","0.00","19.84"
"8","N136","N14","Infinity","0.073","0","Infinity","0.057","0","NaN","21.15"
"9","N53","N180","Infinity","0.400","0","Infinity","0.348","0","NaN","12.98"
"10","N67","N242","52.288","0.360","9","52.288","0.328","9","0.00","8.86"
"11","N163","N34","41.804","0.678","9","41.804","0.666","9","0.00","1.79"
"12","N67","N62","16.771","0.318","4","16.771","0.327","4","0.00","-2.86"
"13","N20","N171","22.024","0.428","8","22.024","0.458","8","0.00","-6.94"
"14","N138","N195","30.313","0.345","10","31.318","0.378","8","-3.32","-9.67"
"15","N187","N169","25.316","0.437","7","25.316","0.385","7","0.00","11.84"
"16","N123","N165","9.944","0.149","3","9.944","0.130","3","0.00","12.62"
"17","N137","N92","20.413","0.244","9","20.413","0.224","9","0.00","8.40"
"18","N4","N138","13.800","0.154","5","13.800","0.145","5","0.00","5.66"
"19","N72","N2","22.097","0.316","7","22.097","0.338","7","0.00","-6.87"
"20","N15","N87","Infinity","0.407","0","Infinity","0.498","0","NaN","-22.31"
"21","N100","N40","Infinity","0.611","0","Infinity","0.598","0","NaN","2.09"
"22","N78","N20","20.358","0.312","7","20.358","0.213","7","0.00","31.90"
"23","N97","N136","Infinity","0.058","0","Infinity","0.040","0","NaN","31.37"
"24","N108","N196","Infinity","0.323","0","Infinity","0.302","0","NaN","6.68"
"25","N58","N115","11.102","0.179","3","11.102","0.156","3","0.00","13.07"
"26","N231","N182","23.912","0.383","7","23.912","0.377","7","0.00","1.67"
"27","N154","N177","33.639","0.183","8","33.639","0.168","8","0.00","8.14"
"28","N99","N157","Infinity","0.086","0","Infinity","0.068","0","NaN","20.58"
"29","N188","N181","Infinity","0.408","0","Infinity","0.428","0","NaN","-4.88"
"30","N162","N183","26.519","0.281","7","26.519","0.272","7","0.00","3.34"
"31","N115","N152","27.460","0.346","6","27.460","0.333","6","0.00","3.87"
"32","N117","N32","25.988","0.450","6","26.071","0.484","7","-0.32","-7.49"
"33","N94","N113","19.137","0.132","5","19.137","0.149","5","0.00","-12.96"
"34","N41","N38","13.639","0.103","4","13.639","0.091","4","0.00","11.38"
"35","N241","N181","Infinity","0.371","0","Infinity","0.405","0","NaN","-9.06"
"36","N154","N239","9.150","0.106","2","9.150","0.084","2","0.00","20.47"
"37","N70","N93","27.256","0.459","7","27.256","0.373","7","0.00","18.73"
"38","N176","N268","16.734","0.229","5","16.734","0.191","5","0.00","16.50"
"39","N133","N200","31.894","0.126","5","31.894","0.105","5","0.00","16.71"
"40","N188","N47","23.650","0.155","4","23.650","0.151","4","0.00","3.15"
"41","N35","N94","Infinity","0.058","0","Infinity","0.039","0","NaN","32.64"
"42","N122","N192","11.178","0.112","5","11.178","0.125","5","0.00","-11.90"
"43","N19","N198","22.576","0.556","5","22.576","0.489","5","0.00","12.00"
"44","N154","N122","26.137","0.395","8","26.137","0.368","8","0.00","6.69"
"45","N184","N47","20.559","0.323","4","21.237","0.356","5","-3.30","-10.12"
"46","N76","N108","27.612","0.273","6","27.612","0.222","6","0.00","18.60"
"47","N149","N94","24.048","0.217","8","24.048","0.198","8","0.00","8.66"
"48","N14","N57","49.526","0.408","10","49.526","0.408","10","0.00","0.15"
"49","N122","N24","21.510","0.409","7","21.510","0.350","7","0.00","14.31"
"50","N41","N96","29.952","0.289","7","29.952","0.282","7","0.00","2.29"
"51","N90","N54","21.820","0.220","6","21.820","0.214","6","0.00","2.82"
"52","N42","N124","20.744","0.204","8","20.744","0.193","8","0.00","5.39"
"53","N216","N189","27.312","0.362","6","27.312","0.429","6","0.00","-18.40"
"54","N149","N210","19.383","0.151","5","19.383","0.141","5","0.00","6.31"
"55","N150","N10","37.269","0.318","9","37.269","0.313","9","0.00","1.73"
"56","N71","N75","Infinity","0.310","0","Infinity","0.308","0","NaN","0.61"
"57","N139","N259","Infinity","0.059","0","Infinity","0.039","0","NaN","33.22"
"58","N216","N92","Infinity","0.051","0","Infinity","0.042","0","NaN","18.13"
"59","N63","N165","22.400","0.441","5","23.016","0.418","6","-2.75","5.24"
"60","N65","N21","24.045","0.440","8","24.045","0.401","8","0.00","8.83"
"61","N30","N278","11.191","0.077","4","11.191","0.057","4","0.00","25.65"
"62","N118","N76","22.603","0.534","7","22.603","0.494","7","0.00","7.62"
"63","N89","N212","26.872","0.465","7","26.872","0.484","7","0.00","-4.11"
"64","N182","N102","23.032","0.354","6","23.032","0.296","6","0.00","16.18"
"65","N3","N204","32.258","0.366","8","32.258","0.290","8","0.00","20.70"
"66","N14","N49","18.617","0.140","5","18.617","0.102","5","0.00","27.16"
"67","N78","N5","25.812","0.150","6","25.812","0.150","6","0.00","0.20"
"68","N3","N109","10.073","0.211","3","10.073","0.218","3","0.00","-3.22"
"69","N3","N81","19.047","0.382","5","19.047","0.318","5","0.00","16.77"
"70","N203","N217","17.562","0.354","4","17.562","0.359","4","0.00","-1.33"
"71","N26","N179","Infinity","0.059","0","Infinity","0.041","0","NaN","30.80"
"72","N138","N280","52.385","0.291","12","52.385","0.309","12","0.00","-6.30"
"73","N102","N250","30.232","0.207","6","30.232","0.218","6","0.00","-5.51"
"74","N172","N22","21.976","0.495","5","21.976","0.468","5","0.00","5.53"
"75","N67","N14","Infinity","0.500","0","Infinity","0.517","0","NaN","-3.36"
"76","N197","N114","Infinity","0.599","0","Infinity","0.693","0","NaN","-15.63"
"77","N10","N203","9.235","0.114","3","9.235","0.108","3","0.00","5.42"
"78","N7","N257","24.958","0.360","7","24.958","0.301","7","0.00","16.49"
"79","N2","N50","35.502","0.446","8","35.834","0.454","10","-0.94","-1.79"
"80","N0","N9","11.969","0.077","4","11.969","0.059","4","0.00","23.70"
"81","N69","N128","Infinity","0.376","0","Infinity","0.336","0","NaN","10.69"
"82","N164","N136","17.329","0.396","6","17.329","0.459","6","0.00","-15.72"
"83","N168","N189","Infinity","0.725","0","Infinity","0.659","0","NaN","9.16"
"84","N149","N21","Infinity","0.118","0","Infinity","0.058","0","NaN","50.72"
"85","N260","N38","30.296","0.294","7","30.296","0.442","7","0.00","-50.53"
"86","N139","N15","15.518","0.146","7","15.518","0.113","7","0.00","22.88"
"87","N142","N25","23.280","0.222","4","23.280","0.328","4","0.00","-47.59"
"88","N148","N71","29.725","0.492","9","29.725","0.424","9","0.00","13.93"
"89","N238","N34","36.429","0.654","10","36.429","0.674","10","0.00","-3.09"
"90","N106","N155","Infinity","0.408","0","Infinity","0.371","0","NaN","9.21"
"91","N2","N96","14.997","0.237","6","14.997","0.085","6","0.00","64.29"
"92","N48","N61","14.796","0.149","3","14.796","0.039","3","0.00","74.06"
"93","N41","N130","34.249","0.517","9","34.249","0.238","9","0.00","53.95"
"94","N237","N195","20.114","0.276","5","20.114","0.126","5","0.00","54.41"
"95","N144","N120","26.065","0.171","7","27.237","0.105","6","-4.50","38.50"
"96","N83","N10","54.695","0.467","11","54.695","0.160","11","0.00","65.69"
"97","N74","N183","41.178","0.432","10","41.178","0.177","10","0.00","59.11"
"98","N90","N146","16.939","0.107","3","16.939","0.040","3","0.00","62.25"
"99","N45","N150","26.878","0.183","6","26.878","0.083","6","0.00","54.94"
"100","N21","N64","24.972","0.372","8","24.972","0.179","8","0.00","52.00"
